---Part B Optimiser---
Log created at: 00-36-51--2018-10-26
Created by Jamie on JAMIE-DESKTOP
Computer: JAMIE-DESKTOP
OS: Windows_NT
Processors: 4
Threads: 4
Negative Ct found: Ct=-0.034918, a=-0.198436, adash=-0.002643 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.198436, adash=-0.002643 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.198436, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 14.500000, 0.151357, 1.000000, 3.000000)
Negative Ct found: Ct=-0.033316, a=-0.217658, adash=-0.002519 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.217658, adash=-0.002519 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.217658, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 15.500000, 0.144376, 1.000000, 3.000000)
Negative Ct found: Ct=-0.031048, a=-0.228734, adash=-0.002345 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.228734, adash=-0.002345 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.228734, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 16.500000, 0.137395, 1.000000, 3.000000)
Negative Ct found: Ct=-0.028345, a=-0.231197, adash=-0.002139 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.231197, adash=-0.002139 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.231197, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 17.500000, 0.130413, 1.000000, 3.000000)
Negative Ct found: Ct=-0.025475, a=-0.226607, adash=-0.001921 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.226607, adash=-0.001921 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.226607, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 18.500000, 0.123432, 1.000000, 3.000000)
Negative Ct found: Ct=-0.023259, a=-0.224304, adash=-0.001753 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.224304, adash=-0.001753 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.224304, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 5.000000, 3.141593, 19.500000, 0.116451, 1.000000, 3.000000)
Negative Ct found: Ct=-0.001355, a=0.012156, adash=-0.000087 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
S1 adash Limit Reached: a=0.009018, adash=-0.000206 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
S1 Loop Limit Reached: a=0.009018, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 10.500000, 0.179283, 1.000000, 3.000000)
Negative Ct found: Ct=-0.010445, a=-0.006256, adash=-0.000670 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.006256, adash=-0.000670 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.006256, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 11.500000, 0.172301, 1.000000, 3.000000)
Negative Ct found: Ct=-0.015882, a=-0.022558, adash=-0.001015 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.022558, adash=-0.001015 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.022558, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 12.500000, 0.165320, 1.000000, 3.000000)
Negative Ct found: Ct=-0.018876, a=-0.036813, adash=-0.001202 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
S1 adash Limit Reached: a=-0.036813, adash=-0.001202 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
S1 Loop Limit Reached: a=-0.036813, adash=0.000000 Calling function: WTInducedCalcs(0.000000, 0.000000, 6.000000, 3.141593, 13.500000, 0.158339, 1.000000, 3.000000)
